split,row_id,template,source_prompt,source_target,system_message,user_message,assistant_message,meta_json
train,0,tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> FFT5731, <WIND> 240 at 10, <RWY> 23L, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> FFT5731, <DIST> 15 miles out.","[ATC]: FFT5731, wind 240 at 10, Runway 23L cleared to land.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Tower, FFT5731, 15 miles out.
Structured context:
- callsign: FFT5731
- runway: 23L
- taxi_route: Bravo, Foxtrot
- gate: B4
- wind_dir_deg: 240
- wind_spd_kt: 10
- distance_mi: 15
- distance_nm: 14.6
- pilot_alt_ft: 6000
- assigned_alt_ft: 4000
- hold_short_runway: 14
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: FFT5731, wind 240 at 10, Runway 23L cleared to land.
SLOT_GROUNDING: callsign=FFT5731; runway=23L; taxiway=BRAVO,FOXTROT; heading=NA; altitude_ft=4000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=14; cross_runway=NA","{""callsign"": ""FFT5731"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 14.6, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""14"", ""wind_dir"": 240, ""wind_spd"": 10, ""gate"": ""B4"", ""route"": ""Bravo, Foxtrot""}"
train,1,approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL8939, <ALT> 5000ft, <RWY> 05L, <DIST> 15.8NM [Pilot]: Greensboro Approach, <F#> UAL8939, level 6000 feet, inbound for landing.","[ATC]: UAL8939, radar contact, descend and maintain 5000, expect ILS Runway 05L.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Approach, UAL8939, level 6000 feet, inbound for landing.
Structured context:
- callsign: UAL8939
- runway: 05L
- taxi_route: Alpha, Foxtrot, Delta
- gate: B4
- wind_dir_deg: 220
- wind_spd_kt: 4
- distance_mi: 15
- distance_nm: 15.8
- pilot_alt_ft: 6000
- assigned_alt_ft: 5000
- hold_short_runway: 14
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: UAL8939, radar contact, descend and maintain 5000, expect ILS Runway 05L.
SLOT_GROUNDING: callsign=UAL8939; runway=05L; taxiway=ALPHA,FOXTROT,DELTA; heading=NA; altitude_ft=5000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=14; cross_runway=NA","{""callsign"": ""UAL8939"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 15.8, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""14"", ""wind_dir"": 220, ""wind_spd"": 4, ""gate"": ""B4"", ""route"": ""Alpha, Foxtrot, Delta""}"
train,2,approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> N4513N, <ALT> 3000ft, <RWY> 32, <DIST> 18.8NM [Pilot]: Greensboro Approach, <F#> N4513N, level 6000 feet, inbound for landing.","[ATC]: N4513N, radar contact, descend and maintain 3000, expect ILS Runway 32.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Approach, N4513N, level 6000 feet, inbound for landing.
Structured context:
- callsign: N4513N
- runway: 32
- taxi_route: Golf, Juliet, Charlie
- gate: C5
- wind_dir_deg: 330
- wind_spd_kt: 13
- distance_mi: 15
- distance_nm: 18.8
- pilot_alt_ft: 6000
- assigned_alt_ft: 3000
- hold_short_runway: 23L
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: N4513N, radar contact, descend and maintain 3000, expect ILS Runway 32.
SLOT_GROUNDING: callsign=N4513N; runway=32; taxiway=GOLF,JULIET,CHARLIE; heading=NA; altitude_ft=3000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=23L; cross_runway=NA","{""callsign"": ""N4513N"", ""pilot_alt"": 6000, ""assign_alt"": 3000, ""dist_nm"": 18.8, ""dist_mi"": 15, ""rwy"": ""32"", ""hs_rwy"": ""23L"", ""wind_dir"": 330, ""wind_spd"": 13, ""gate"": ""C5"", ""route"": ""Golf, Juliet, Charlie""}"
train,3,tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> DAL3408, <WIND> 320 at 15, <RWY> 23R, <DIST> 14mi [Pilot]: Greensboro Tower, <F#> DAL3408, <DIST> 14 miles out.","[ATC]: DAL3408, wind 320 at 15, Runway 23R cleared to land.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Tower, DAL3408, 14 miles out.
Structured context:
- callsign: DAL3408
- runway: 23R
- taxi_route: Charlie, Golf, Juliet
- gate: C3
- wind_dir_deg: 320
- wind_spd_kt: 15
- distance_mi: 14
- distance_nm: 14.5
- pilot_alt_ft: 9000
- assigned_alt_ft: 6000
- hold_short_runway: 05L
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: DAL3408, wind 320 at 15, Runway 23R cleared to land.
SLOT_GROUNDING: callsign=DAL3408; runway=23R; taxiway=CHARLIE,GOLF,JULIET; heading=NA; altitude_ft=6000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=05L; cross_runway=NA","{""callsign"": ""DAL3408"", ""pilot_alt"": 9000, ""assign_alt"": 6000, ""dist_nm"": 14.5, ""dist_mi"": 14, ""rwy"": ""23R"", ""hs_rwy"": ""05L"", ""wind_dir"": 320, ""wind_spd"": 15, ""gate"": ""C3"", ""route"": ""Charlie, Golf, Juliet""}"
train,4,ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> UAL776, <GATE> C3, <RWY> 05L, <TXWY> Lima, Bravo, <HSRWY> 23R [Pilot]: Greensboro Ground, <F#> UAL776, at Gate <GATE> C3, request taxi to Runway <RWY> 05L.","[ATC]: UAL776, taxi to Runway 05L via Lima, Bravo, hold short of Runway 23R.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Ground, UAL776, at Gate C3, request taxi to Runway 05L.
Structured context:
- callsign: UAL776
- runway: 05L
- taxi_route: Lima, Bravo
- gate: C3
- wind_dir_deg: 290
- wind_spd_kt: 10
- distance_mi: 15
- distance_nm: 18.1
- pilot_alt_ft: 9000
- assigned_alt_ft: 4000
- hold_short_runway: 23R
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: UAL776, taxi to Runway 05L via Lima, Bravo, hold short of Runway 23R.
SLOT_GROUNDING: callsign=UAL776; runway=05L,23R; taxiway=LIMA,BRAVO; heading=NA; altitude_ft=4000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=23R; cross_runway=NA","{""callsign"": ""UAL776"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 18.1, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""23R"", ""wind_dir"": 290, ""wind_spd"": 10, ""gate"": ""C3"", ""route"": ""Lima, Bravo""}"
train,5,ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7734A, <TXWY> Lima, Golf, <GATE> A1 [Pilot]: Greensboro Ground, <F#> N7734A, clear of active, request taxi to Gate <GATE> A1.","[ATC]: N7734A, taxi to Gate A1 via Lima, Golf.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Ground, N7734A, clear of active, request taxi to Gate A1.
Structured context:
- callsign: N7734A
- runway: 14
- taxi_route: Lima, Golf
- gate: A1
- wind_dir_deg: 190
- wind_spd_kt: 9
- distance_mi: 7
- distance_nm: 7.4
- pilot_alt_ft: 9000
- assigned_alt_ft: 4000
- hold_short_runway: 23L
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: N7734A, taxi to Gate A1 via Lima, Golf.
SLOT_GROUNDING: callsign=N7734A; runway=14; taxiway=LIMA,GOLF; heading=NA; altitude_ft=4000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=23L; cross_runway=NA","{""callsign"": ""N7734A"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 7.4, ""dist_mi"": 7, ""rwy"": ""14"", ""hs_rwy"": ""23L"", ""wind_dir"": 190, ""wind_spd"": 9, ""gate"": ""A1"", ""route"": ""Lima, Golf""}"
train,6,approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> DAL4960, <ALT> 5000ft, <RWY> 05L, <DIST> 14.5NM [Pilot]: Greensboro Approach, <F#> DAL4960, level 6000 feet, inbound for landing.","[ATC]: DAL4960, radar contact, descend and maintain 5000, expect ILS Runway 05L.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Approach, DAL4960, level 6000 feet, inbound for landing.
Structured context:
- callsign: DAL4960
- runway: 05L
- taxi_route: Lima, Golf, Alpha
- gate: A5
- wind_dir_deg: 240
- wind_spd_kt: 9
- distance_mi: 14
- distance_nm: 14.5
- pilot_alt_ft: 6000
- assigned_alt_ft: 5000
- hold_short_runway: 23R
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: DAL4960, radar contact, descend and maintain 5000, expect ILS Runway 05L.
SLOT_GROUNDING: callsign=DAL4960; runway=05L; taxiway=LIMA,GOLF,ALPHA; heading=NA; altitude_ft=5000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=23R; cross_runway=NA","{""callsign"": ""DAL4960"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 14.5, ""dist_mi"": 14, ""rwy"": ""05L"", ""hs_rwy"": ""23R"", ""wind_dir"": 240, ""wind_spd"": 9, ""gate"": ""A5"", ""route"": ""Lima, Golf, Alpha""}"
train,7,ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> N7461M, <GATE> A3, <RWY> 14, <TXWY> Echo, Alpha, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> N7461M, at Gate <GATE> A3, request taxi to Runway <RWY> 14.","[ATC]: N7461M, taxi to Runway 14 via Echo, Alpha, hold short of Runway 32.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Ground, N7461M, at Gate A3, request taxi to Runway 14.
Structured context:
- callsign: N7461M
- runway: 14
- taxi_route: Echo, Alpha
- gate: A3
- wind_dir_deg: 270
- wind_spd_kt: 16
- distance_mi: 7
- distance_nm: 6.7
- pilot_alt_ft: 9000
- assigned_alt_ft: 5000
- hold_short_runway: 32
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: N7461M, taxi to Runway 14 via Echo, Alpha, hold short of Runway 32.
SLOT_GROUNDING: callsign=N7461M; runway=14,32; taxiway=ECHO,ALPHA; heading=NA; altitude_ft=5000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=32; cross_runway=NA","{""callsign"": ""N7461M"", ""pilot_alt"": 9000, ""assign_alt"": 5000, ""dist_nm"": 6.7, ""dist_mi"": 7, ""rwy"": ""14"", ""hs_rwy"": ""32"", ""wind_dir"": 270, ""wind_spd"": 16, ""gate"": ""A3"", ""route"": ""Echo, Alpha""}"
train,8,ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7803V, <TXWY> Kilo, Delta, <GATE> B6 [Pilot]: Greensboro Ground, <F#> N7803V, clear of active, request taxi to Gate <GATE> B6.","[ATC]: N7803V, taxi to Gate B6 via Kilo, Delta.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Ground, N7803V, clear of active, request taxi to Gate B6.
Structured context:
- callsign: N7803V
- runway: 32
- taxi_route: Kilo, Delta
- gate: B6
- wind_dir_deg: 220
- wind_spd_kt: 6
- distance_mi: 7
- distance_nm: 7.1
- pilot_alt_ft: 8000
- assigned_alt_ft: 4000
- hold_short_runway: 23R
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: N7803V, taxi to Gate B6 via Kilo, Delta.
SLOT_GROUNDING: callsign=N7803V; runway=32; taxiway=KILO,DELTA; heading=NA; altitude_ft=4000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=23R; cross_runway=NA","{""callsign"": ""N7803V"", ""pilot_alt"": 8000, ""assign_alt"": 4000, ""dist_nm"": 7.1, ""dist_mi"": 7, ""rwy"": ""32"", ""hs_rwy"": ""23R"", ""wind_dir"": 220, ""wind_spd"": 6, ""gate"": ""B6"", ""route"": ""Kilo, Delta""}"
train,9,ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> JBU8861, <TXWY> Echo, Lima, Foxtrot, <GATE> A1 [Pilot]: Greensboro Ground, <F#> JBU8861, clear of active, request taxi to Gate <GATE> A1.","[ATC]: JBU8861, taxi to Gate A1 via Echo, Lima, Foxtrot.","You are an air traffic controller generating the NEXT ATC transmission for a KGSO simulation. Use concise FAA-style phraseology, preserve all operational slot values exactly (callsign, runway, taxiway, heading, altitude, speed, frequency, squawk, hold short / cross). Do not invent missing values. Respond in two sections: (1) the spoken ATC line, and (2) a compact SLOT_GROUNDING list used to justify key fields.","Generate the next controller transmission from the scenario context below.
Pilot transmission: Greensboro Ground, JBU8861, clear of active, request taxi to Gate A1.
Structured context:
- callsign: JBU8861
- runway: 05L
- taxi_route: Echo, Lima, Foxtrot
- gate: A1
- wind_dir_deg: 310
- wind_spd_kt: 9
- distance_mi: 15
- distance_nm: 23.5
- pilot_alt_ft: 9000
- assigned_alt_ft: 6000
- hold_short_runway: 32
Requirements: keep phraseology realistic and concise; include only the current ATC action; preserve provided slot values exactly; do not fabricate missing values.
Output format:
ATC_RESPONSE: <spoken ATC transmission>
SLOT_GROUNDING: callsign=...; runway=...; taxiway=...; heading=...; altitude_ft=...; speed_kt=...; frequency=...; squawk=...; hold_short=...; cross_runway=...","ATC_RESPONSE: [ATC]: JBU8861, taxi to Gate A1 via Echo, Lima, Foxtrot.
SLOT_GROUNDING: callsign=JBU8861; runway=05L; taxiway=ECHO,LIMA,FOXTROT; heading=NA; altitude_ft=6000; speed_kt=NA; frequency=NA; squawk=NA; hold_short=32; cross_runway=NA","{""callsign"": ""JBU8861"", ""pilot_alt"": 9000, ""assign_alt"": 6000, ""dist_nm"": 23.5, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""32"", ""wind_dir"": 310, ""wind_spd"": 9, ""gate"": ""A1"", ""route"": ""Echo, Lima, Foxtrot""}"
