template,prompt,target,meta_json
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> FFT5731, <WIND> 240 at 10, <RWY> 23L, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> FFT5731, <DIST> 15 miles out.","[ATC]: FFT5731, wind 240 at 10, Runway 23L cleared to land.","{""callsign"": ""FFT5731"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 14.6, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""14"", ""wind_dir"": 240, ""wind_spd"": 10, ""gate"": ""B4"", ""route"": ""Bravo, Foxtrot""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL8939, <ALT> 5000ft, <RWY> 05L, <DIST> 15.8NM [Pilot]: Greensboro Approach, <F#> UAL8939, level 6000 feet, inbound for landing.","[ATC]: UAL8939, radar contact, descend and maintain 5000, expect ILS Runway 05L.","{""callsign"": ""UAL8939"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 15.8, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""14"", ""wind_dir"": 220, ""wind_spd"": 4, ""gate"": ""B4"", ""route"": ""Alpha, Foxtrot, Delta""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> N4513N, <ALT> 3000ft, <RWY> 32, <DIST> 18.8NM [Pilot]: Greensboro Approach, <F#> N4513N, level 6000 feet, inbound for landing.","[ATC]: N4513N, radar contact, descend and maintain 3000, expect ILS Runway 32.","{""callsign"": ""N4513N"", ""pilot_alt"": 6000, ""assign_alt"": 3000, ""dist_nm"": 18.8, ""dist_mi"": 15, ""rwy"": ""32"", ""hs_rwy"": ""23L"", ""wind_dir"": 330, ""wind_spd"": 13, ""gate"": ""C5"", ""route"": ""Golf, Juliet, Charlie""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> DAL3408, <WIND> 320 at 15, <RWY> 23R, <DIST> 14mi [Pilot]: Greensboro Tower, <F#> DAL3408, <DIST> 14 miles out.","[ATC]: DAL3408, wind 320 at 15, Runway 23R cleared to land.","{""callsign"": ""DAL3408"", ""pilot_alt"": 9000, ""assign_alt"": 6000, ""dist_nm"": 14.5, ""dist_mi"": 14, ""rwy"": ""23R"", ""hs_rwy"": ""05L"", ""wind_dir"": 320, ""wind_spd"": 15, ""gate"": ""C3"", ""route"": ""Charlie, Golf, Juliet""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> UAL776, <GATE> C3, <RWY> 05L, <TXWY> Lima, Bravo, <HSRWY> 23R [Pilot]: Greensboro Ground, <F#> UAL776, at Gate <GATE> C3, request taxi to Runway <RWY> 05L.","[ATC]: UAL776, taxi to Runway 05L via Lima, Bravo, hold short of Runway 23R.","{""callsign"": ""UAL776"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 18.1, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""23R"", ""wind_dir"": 290, ""wind_spd"": 10, ""gate"": ""C3"", ""route"": ""Lima, Bravo""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7734A, <TXWY> Lima, Golf, <GATE> A1 [Pilot]: Greensboro Ground, <F#> N7734A, clear of active, request taxi to Gate <GATE> A1.","[ATC]: N7734A, taxi to Gate A1 via Lima, Golf.","{""callsign"": ""N7734A"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 7.4, ""dist_mi"": 7, ""rwy"": ""14"", ""hs_rwy"": ""23L"", ""wind_dir"": 190, ""wind_spd"": 9, ""gate"": ""A1"", ""route"": ""Lima, Golf""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> DAL4960, <ALT> 5000ft, <RWY> 05L, <DIST> 14.5NM [Pilot]: Greensboro Approach, <F#> DAL4960, level 6000 feet, inbound for landing.","[ATC]: DAL4960, radar contact, descend and maintain 5000, expect ILS Runway 05L.","{""callsign"": ""DAL4960"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 14.5, ""dist_mi"": 14, ""rwy"": ""05L"", ""hs_rwy"": ""23R"", ""wind_dir"": 240, ""wind_spd"": 9, ""gate"": ""A5"", ""route"": ""Lima, Golf, Alpha""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> N7461M, <GATE> A3, <RWY> 14, <TXWY> Echo, Alpha, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> N7461M, at Gate <GATE> A3, request taxi to Runway <RWY> 14.","[ATC]: N7461M, taxi to Runway 14 via Echo, Alpha, hold short of Runway 32.","{""callsign"": ""N7461M"", ""pilot_alt"": 9000, ""assign_alt"": 5000, ""dist_nm"": 6.7, ""dist_mi"": 7, ""rwy"": ""14"", ""hs_rwy"": ""32"", ""wind_dir"": 270, ""wind_spd"": 16, ""gate"": ""A3"", ""route"": ""Echo, Alpha""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7803V, <TXWY> Kilo, Delta, <GATE> B6 [Pilot]: Greensboro Ground, <F#> N7803V, clear of active, request taxi to Gate <GATE> B6.","[ATC]: N7803V, taxi to Gate B6 via Kilo, Delta.","{""callsign"": ""N7803V"", ""pilot_alt"": 8000, ""assign_alt"": 4000, ""dist_nm"": 7.1, ""dist_mi"": 7, ""rwy"": ""32"", ""hs_rwy"": ""23R"", ""wind_dir"": 220, ""wind_spd"": 6, ""gate"": ""B6"", ""route"": ""Kilo, Delta""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> JBU8861, <TXWY> Echo, Lima, Foxtrot, <GATE> A1 [Pilot]: Greensboro Ground, <F#> JBU8861, clear of active, request taxi to Gate <GATE> A1.","[ATC]: JBU8861, taxi to Gate A1 via Echo, Lima, Foxtrot.","{""callsign"": ""JBU8861"", ""pilot_alt"": 9000, ""assign_alt"": 6000, ""dist_nm"": 23.5, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""32"", ""wind_dir"": 310, ""wind_spd"": 9, ""gate"": ""A1"", ""route"": ""Echo, Lima, Foxtrot""}"
