Pilot Prompt,Generated ATC Response,BLEU,ROUGE-L,Edit Distance,Perplexity
"Pilot: Requesting vectors for ILS Runway 23L, N345GH.","ATC: ""N345GH, vectors for the ILS 23 Left, turn right heading 270, descend and maintain 3,000, expect ILS approach runway 23 left.""
```

In this example, the pilot is requesting vectors for an Instrument Landing System (ILS) approach to runway 22 Left.",0.022,0.143,216,19.1
"Pilot: Requesting descent to 6,500 feet, DAL338.","ATC: DAL338, descend and maintain 6500 feet, expect further clearance in 10 minutes.
```

In this example, the pilot is requesting to descend to a lower altitude, and the air traffic control (ATC) is acknowledging the request and providing instructions for the descent, including an expected time for further clearance.",0.015,0.091,285,6.91
"Pilot: Inbound to GSO, level 10,000 feet, N123AB.","ATC: GSO Ground, GSO Tower, and GSO Departure, this is GSO Approach. N123 AB, you are number two for the ILS runway 36 approach. Reduce speed to 180 knots, descend and maintain 8,000. Turn right heading 270. Report established on the localizer",0.021,0.047,212,6.36
"Pilot: N466C7, 10 miles out, request landing clearance for Runway 5.","ATC: Cleared to land runway 5, wind 270 at 10 knots, runway visual range 3 miles, temperature 15 degrees Celsius, QNH 1013 hPa. Report when established on the downwind leg.

Pilot 1: Roger that, cleared to land 5. Will report when established",0.029,0.087,198,4.5
"Pilot: Inbound to GSO, level 7,000 feet, N123AB.","ATC: GSO Ground, GSO Tower, and GSO Departure, this is GSO Approach. N123 AB, you are number 2 for the ILS runway 18 approach. Reduce speed to 180 knots and descend and maintain 5,500 feet. Report established on the localizer or when passing",0.019,0.047,212,7.01
"Pilot: Cleared runway 23L, taxiing via Delta to Gate 3.","ATC: Taxi via Delta, contact Ground on 121.9 when ready for pushback.
```

In this example, the pilot acknowledges the clearance, confirms the taxi route, and informs ATC when they are ready to push back from the gate.

By following these steps and using the correct phraseology, you can ensure a",0.014,0.075,258,5.76
"Pilot: Requesting descent to 8,000 feet, AAL202.","ATC: Descend and maintain flight level 080, American Airlines 202. Expect vectors for the ILS approach to Runway 27L. Be advised, there is a reported wind shear in the vicinity of the airport.

Pilot (AAL202): Roger that, descending to FL080 and preparing for ILS",0.017,0.047,230,5.74
"Pilot: Ready for taxi to Signature, SWA519.","ATC: Signature, Southwest 519, cleared to taxi via Bravo, hold short of Alpha, contact ground on 121.9.
```

In this example, ""Signature"" is the name of the airport, and ""Alpha"" and ""Bravo"" refer to specific taxiways at that airport. The pilot acknowledges the clearance",0.007,0.089,239,6.2
"Pilot: N466C7, holding short of Runway 5, ready for departure.","ATC: Cleared for immediate takeoff, runway 5. Wind 270 at 10 knots, gusting to 15. Be advised, there's an aircraft on final approach for runway 23. Maintain visual separation.

Pilot 1: Roger that, cleared for takeoff from 5 with traffic on final for",0.014,0.045,211,4.65
"Pilot: Cleared runway 14, taxiing via Bravo to Gate 3.","ATC: Taxi via Bravo, contact Ground on 121.9 when ready for pushback.
```

In this example, the pilot acknowledges the clearance, confirms the taxi route, and informs ATC when they are ready for the next step, which is pushback.

By following these steps and maintaining clear communication, you can ensure",0.014,0.039,269,5.06
"Pilot: N466C7, 10 miles out, request landing clearance for Runway 23L.","ATC: Cleared to land runway 23 Left, wind 270 at 10 knots, runway visual range 3 miles, temperature 15 degrees Celsius, altimeter 29.92 inches of mercury. Be advised, there is a Cessna 172 on final for runway 25R, maintain visual separation.
P",0.018,0.082,197,4.6
"Pilot: Cleared runway 14, taxiing via Delta to Signature.","ATC: N12345, taxi via Delta, hold short of Runway 14.
```

In this example, ""Delta"" is the taxiway that the pilot will use to reach the runway. The pilot acknowledges the instruction by repeating it back to ATC, which is a standard procedure to confirm that the message was received",0.02,0.083,238,7.2
"Pilot: DAL338, 10 miles out, request landing clearance for Runway 23R.","ATC: Delta 338, you are cleared to land runway 23 Right, wind 270 at 10 knots, runway visual range 3,000 meters. Report when established on the downwind leg.

Pilot (DAL338): Cleared to land 23 right, Delta338. Will report downwind.
```",0.022,0.045,190,11.14
"Pilot: Requesting descent to 8,000 feet, SWA519.","ATC: Descend and maintain flight level 080, Southwest 519. Expect vectors for the ILS approach to runway 27L.

Pilot (SWA519): Descending to flight level zero eight zero, expect vectors for ILS runway two seven L, Southwest five one nine.
```

In this example, the",0.017,0.05,233,6.59
"Pilot: Requesting descent to 7,000 feet, N466C7.","ATC: Roger, descend and maintain 7000, expect further clearance in 10 minutes.
```

In this example, the pilot is requesting to descend to a lower altitude, and the air traffic controller acknowledges the request and provides instructions for the descent, including an expected time for further clearance. This exchange ensures that both the pilot",0.008,0.043,312,7.42
"Pilot: Inbound to GSO, level 7,000 feet, N123AB.","ATC: GSO Ground, GSO Tower, and GSO Departure, this is GSO Approach. N123 AB, you are number 2 for the ILS runway 18 approach. Reduce speed to 180 knots and descend and maintain 5,500 feet. Report established on the localizer or when passing",0.019,0.047,212,7.01
"Pilot: Ready for taxi to Signature, N123AB.","ATC: Taxi to Signature via Alpha, hold short of Runway 27L, contact Ground on 121.9.
```

In this example, the pilot is instructed to taxi to the Signature gate via the Alpha taxiway and to hold short (stop) at the intersection of the taxiway with runway 27 Left (",0.015,0.095,232,5.92
"Pilot: Ready for taxi to Signature, DAL338.","ATC: DAL338, cleared to taxi to runway 18R via taxiways Alpha, Bravo, hold short of runway 27L, contact ground on 121.9.
```

In this example, ""DAL338"" is the call sign for the aircraft operated by Delta Air Lines, and ""Signature"" refers to the",0.014,0.136,211,5.82
"Pilot: Requesting vectors for ILS Runway 14, AAL202.","ATC: ""AAL202, descend and maintain 3,000 feet, turn left heading 270, vectors for the ILS approach to Runway Fourteen. Expect further clearance in 10 minutes.""
```

In this example, the pilot requests vectors for an Instrument Landing System (ILS) approach to runway 14",0.024,0.178,229,8.56
"Pilot: Inbound to GSO, level 7,000 feet, DAL338.","ATC: DAL338, GSO Tower, you're cleared for the ILS runway 18 approach. Wind 270 at 10 knots, runway visual range 3 miles. Report established on the localizer or when passing the outer marker.

Pilot (DAL338): Cleared for ILS 18, wind 270",0.015,0.0,206,7.25
"Pilot: Requesting descent to 10,000 feet, N123AB.","ATC: Descend and maintain flight level one-zero-zero, squawk 4321, N456CD. Traffic alert, traffic at your 12 o'clock, 10 miles, same altitude, N789EF.
Pilot 1: Descending to flight level 100, squawking four three two one, N",0.017,0.053,191,7.22
"Pilot: Requesting vectors for ILS Runway 23L, N123AB.","ATC: Cleared for the ILS approach runway 23 left, maintain 3,000 until established on the localizer, squawk 4721.

Pilot (N123AB): Cleared ILS 23 L, maintaining 3000, squawking 4712.
```

In this example, the",0.019,0.118,176,6.72
"Pilot: N345GH, holding short of Runway 23R, ready for departure.","ATC: Cleared for takeoff runway 23 Right, wind 270 at 10, climb and maintain 5,000 feet, contact departure on 123.45.
```

In this example, ""N345GH"" is the tail number of the aircraft, and ""23R"" refers to a specific runway at",0.034,0.133,190,5.67
"Pilot: Requesting vectors for ILS Runway 5, N466C7.","ATC: Cleared to ILS runway 5. Descend and maintain 3,000. Reduce speed to 210 knots. Expect vectors for the ILS approach.
```

In this example, the pilot is requesting vectors to align with the Instrument Landing System (ILS) for a specific runway. The air traffic controller",0.02,0.136,237,5.26
"Pilot: Inbound to GSO, level 8,000 feet, N123AB.","ATC: GSO Ground, GSO Tower, and GSO Departure, this is GSO Approach. N123 AB, you are number 2 for the ILS runway 36 approach. Wind 270 at 5, visibility 10, ceiling 3,000 broken, altimeter 29.92. Report",0.02,0.0,170,6.59
"Pilot: AAL202, 10 miles out, request landing clearance for Runway 14.","ATC: Cleared to land runway 14, wind 270 at 10 knots, runway visual range 3,000 meters.
```
Analyze the communication and provide a summary that includes the pilot's call sign, the flight number, the distance from the airport, the requested runway for landing, the wind direction and speed",0.017,0.085,240,4.83
"Pilot: AAL202, 10 miles out, request landing clearance for Runway 23R.","ATC: Cleared to land runway 23 right, wind 270 at 5, visibility 10, altimeter 29.92.
```

In this example, ""AAL202"" is the call sign of the aircraft, which is a Boeing 737 operated by American Airlines. The call sign is used by the",0.032,0.0,193,5.5
"Pilot: SWA519, request frequency change to Ground.","ATC: Southwest 519, frequency change approved, contact Ground on 121.9.
```

In this example, the pilot requests a frequency change from Tower to Ground, and ATC approves the request, providing the new frequency for the pilot to contact Ground control.",0.023,0.222,206,8.81
"Pilot: Inbound to GSO, level 8,000 feet, N123AB.","ATC: GSO Ground, GSO Tower, and GSO Departure, this is GSO Approach. N123 AB, you are number 2 for the ILS runway 36 approach. Wind 270 at 5, visibility 10, ceiling 3,000 broken, altimeter 29.92. Report",0.02,0.0,170,6.59
"Pilot: Cleared runway 23L, taxiing via Bravo to Gate 3.","ATC: Taxi via Bravo, contact Ground on 121.9 when ready for pushback.
```

In this example, the pilot acknowledges the clearance, confirms the taxi route, and informs ATC when they are ready to push back, ensuring a smooth transition from taxiing to takeoff.

By following these steps and maintaining clear",0.018,0.113,268,5.15
"Pilot: Requesting descent to 7,000 feet, DAL338.","ATC: DAL338, descend and maintain flight level 070, expect further clearance in 10 minutes.
```

In this example, ""DAL338"" is the call sign of the aircraft operated by Delta Air Lines. The call sign is used by the pilot to communicate with air traffic control (ATC) and by ATC",0.008,0.043,245,6.56
"Pilot: Cleared runway 23R, taxiing via Bravo to Gate 3.","ATC: Taxi via Bravo, contact Ground on 121.9 when ready for pushback.
```

In this example, the pilot acknowledges the clearance, confirms the taxi route, and informs ATC when they are ready to push back, maintaining clear and concise communication throughout the process.

By following these steps and maintaining clear communication,",0.014,0.078,296,4.95
"Pilot: Ready for taxi to Atlantic, N466C7.","ATC: Taxi to Atlantic via Alpha, Bravo, Charlie, hold short of Runway 27.
```

In this example, the pilot acknowledges the instruction to taxi to the Atlantic gate using the specified taxiway route and confirms readiness. The ATC then provides the taxi route and instructs the pilot to hold short at Runway",0.016,0.098,276,6.74
"Pilot: Requesting vectors for ILS Runway 23L, AAL202.","ATC: ""AAL202, cleared for the ILS approach runway 23 Left, maintain 3000 until established on the localizer, reduce speed to 180 knots.""
```

In this example, the pilot requests vectors for an Instrument Landing System (ILS) approach, and ATC responds with a clearance that includes",0.022,0.122,247,5.51
"Pilot: Requesting descent to 10,000 feet, N123AB.","ATC: Descend and maintain flight level one-zero-zero, squawk 4321, N456CD. Traffic alert, traffic at your 12 o'clock, 10 miles, same altitude, N789EF.
Pilot 1: Descending to flight level 100, squawking four three two one, N",0.017,0.053,191,7.22
"Pilot: N345GH, 10 miles out, request landing clearance for Runway 5.","ATC: Cleared to land runway 5, wind 270 at 10 knots, runway visual range 3 miles.
```
Analyze the communication and provide a summary that includes the pilot's call sign, the aircraft's distance from the airport, the requested runway for landing, the wind direction and speed, and the runway",0.018,0.13,241,4.73
"Pilot: Inbound to GSO, level 6,500 feet, N345GH.","ATC: GSO Ground, GSO Tower, and GSO Departure, this is GSO Approach. N123AB, you are cleared for the ILS approach to runway 18, maintain 5,000 feet until established on the localizer, then descend to minimums. Report established on localizer.
Pilot",0.015,0.051,215,5.92
"Pilot: AAL202, holding short of Runway 23R, ready for departure.","ATC: Cleared for takeoff, runway heading, climb and maintain 10,000 feet, expect further clearance at 20 DME.

Pilot (AAL202): Cleared to 10K, runway 23 R, AAL 202.
```

In this example, the pilot acknowledges the clearance by repeating",0.028,0.048,195,7.36
"Pilot: SWA519, 10 miles out, request landing clearance for Runway 14.","ATC: Southwest 519, you are cleared to land runway 14, wind 180 at 10 knots, runway visual range 3 miles, temperature 15 degrees Celsius, altimeter 29.92 inches of mercury. Report when established on the downwind leg.

Pilot (SWA519): Cleared to land",0.034,0.042,206,5.44
"Pilot: Requesting vectors for ILS Runway 5, N466C7.","ATC: Cleared to ILS runway 5. Descend and maintain 3,000. Reduce speed to 210 knots. Expect vectors for the ILS approach.
```

In this example, the pilot is requesting vectors to align with the Instrument Landing System (ILS) for a specific runway. The air traffic controller",0.02,0.136,237,5.26
"Pilot: Requesting vectors for ILS Runway 23R, DAL338.","ATC: DAL338, you are cleared for the ILS approach to Runway Twenty-Three Right, maintain 3000 until established on the localizer, report when in sight of the runway.

Pilot (DAL338): Cleared for the approach, maintaining 3,000, will report when runway in sight. DAL",0.018,0.154,230,5.71
"Pilot: Cleared runway 14, taxiing via Bravo to Gate 3.","ATC: Taxi via Bravo, contact Ground on 121.9 when ready for pushback.
```

In this example, the pilot acknowledges the clearance, confirms the taxi route, and informs ATC when they are ready for the next step, which is pushback.

By following these steps and maintaining clear communication, you can ensure",0.014,0.039,269,5.06
"Pilot: Requesting descent to 8,000 feet, N345GH.","ATC: Descend and maintain 8000, expect further clearance in 10 minutes.
```

In this example, the pilot is requesting to descend to a lower altitude, and the air traffic control (ATC) acknowledges the request, instructing the pilot to maintain the new altitude and informing them that further clearance will be provided",0.007,0.045,286,4.42
